정류소명,정류소아이디
서구청역(3번출구),168000284
서인천농협,168000275
청라웰카운티221동,168001288
청라국제도서관,168000922
호반베르디움3차아파트,168000743
서해그랑블,168000789
엑슬루타워,168000836
롯데캐슬,168000884
자이더테라스2단지,168000864
반도유보라,168000985
한양수자인,168000868
청라로봇랜드,168001247
로봇타워,168001301
로봇타워,168001302
청라로봇랜드,168001246
한양수자인,168000893
동양엔파트,168000986
자이더테라스2단지,168000871
힐데스하임,168000876
서해그랑블,168000790
청라자이,168000742
청라국제도서관,168000923
청라국제어린이집,168001289
서인천농협,168000277
서구청역(1번출구),168000289
연희동행정복지센터,168000311
경서지구입구,168000672
경서초등학교,168000569
태평아파트2차(B),168000318
태평아파트1차(B),168000325
녹청자박물관,168000668
경서농원,168000333
아시아드대광로제비앙아파트,168001258
빈정공원,168000670
검단사거리역,168000419
대림아파트,168000609
검단원흥아파트,168000401
유승아파트,168000398
왕길동,168000386
자이금호힐스테이트,168000849
단봉초등학교,168000382
검단오류풍림아이원,168001251
금곡교차로,168001371
좌동마을,168001253
향동해병2사단,232000571
구래리,232000572
한강센트럴블루힐.모아엘가2차,232000718
솔터마을입구,232000706
구래역,232000724
가오대입구,232000660
율생리입구,232000285
종생마을,232000284
대곶사거리,232000283
송마리입구,232000282
송마3리,232000281
인삼농협앞,232000658
산음입구,232000280
대명초교,232000470
장안말(구초지분교)입구,169001083
장흥저수지(성공회.해든뮤지움),169001082
용화사(길상낚시터),169001077
애전부락,169001075
전등사남문,169000515
길상면주민센터,169000069
방죽말,169000214
마그네,169000028
마그네사거리,169000029
길직1리,169000270
신현리입구,169001062
목비고개,169000032
옥골.옥토끼우주센터,169000561
두운리,169000540
불은면주민센터,169000035
영은교회,169000037
성터지,169000038
백운곡,169000040
금운교,169000858
대장간마을,169000703
선원면주민센터,169000070
선원초등학교,169000045
군인아파트,169000046
고산촌,169000544
찬우물,169000048
세광아파트,169000050
창골,169000549
대문리고개입구,169000546
창리,169000054
농업기술센터,169000573
인산저수지,169000575
비선삼거리,169000547
양도초등학교,169000568
산문입구,169000286
종갱이,169000180
노랑새고개,169000570
하우고개,169000275
양도,169000074
탑재,169000327
고창촌,169000076
공설운동장,169000092
오류골,169000013
국제콘크리트,169001050
밤나무골,169000023
길상군립어린이집,169000959
초지삼거리,169000112
초지리,169000093
초지진,169000025
금곡동,168000587
가현오일뱅크,168000734
좌동마을입구,168000928
스포월드골프연습장,168000439
검단하나아파트,168000421
온누리병원,168000425
검단사거리역,168000426
검암사거리,168000357
검바위역,168000348
대인고등학교,168000345
공촌마을,168000323
연희동광명아파트(사계절썰매장),168000599
대동아파트,168000304
심곡초등학교(국제성모병원),168000288
인재개발원,168000282
현광아파트,168000258
가정1동행정복지센터,168001309
루원호반베르디움,168001149
루원제일풍경채정문앞,168001040
루원더퍼스트아파트,168001107
인천아시아드테니스장,168001357
인천서곶초등학교,168001358
인천아시아드주경기장(동문),168001359
인천아시아드주경기장(동문),168001354
인천서곶초등학교,168001355
인천아시아드테니스장,168001356
청라꽃농원,168000991
루원더퍼스트아파트,168001108
가정LH3단지정문앞,168001041
루원시티프라디움,168001150
루원시티프라디움105동,168001308
현광아파트,168000260
청양골,168000775
인재개발원,168000281
심곡초등학교(국제성모병원),168000290
대동아파트,168000306
연희동광명아파트(사계절썰매장),168000314
공촌마을,168000598
공촌사거리,168000331
대인고등학교,168000344
검바위역,168000349
검암사거리,168000356
검단사거리역,168000427
검단우방아이유쉘아파트,168000688
검단하나아파트,168000422
마전주공아파트,168000420
스포월드골프연습장,168000440
좌동마을입구,168000456
한사랑어린이집,168000461
금곡동,168000471
초지대교,169000017
초지진,169000024
초지리,169000026
초지삼거리,169000508
길상군립어린이집,169000960
밤나무골,169000022
국제콘크리트,169001051
오류골,169000014
공설운동장,169000091
화도,169000077
탑재,169000579
양도,169000075
하우고개,169000577
노랑새고개,169000273
종갱이,169000288
산문입구,169000107
양도초등학교,169000329
비선삼거리,169000596
인산저수지,169000354
농업기술센터,169000357
강화병원,169000089
유성아파트,169000087
현대아파트,169000083
김포대학입구,232000596
오리정,232000387
현대아파트.통진도서관,232000381
마송,232000379
김포한강신협,232000300
인천의료원,162000108
인천교삼거리,163000453
서화초등학교(도화e편한세상),163000623
청운대삼거리(하늘꿈교회),163000433
인천재능대학교서문,162000119
현대시장,162000118
동산고,162000018
도화동신협(구박문여고),162000003
제물포역,163000502
정부인천지방합동청사,163000386
시민공원.문화창작지대,163000334
석바위,163000365
인천시청후문,165000290
문학경기장(X게임장),163000643
인천시청후문,165000292
석바위,163000370
시민공원.문화창작지대,163000468
정부인천지방합동청사,163000388
제물포역,163000364
도화동신협(구박문여고),163000499
동산고등학교,162000021
현대시장,162000042
인천재능대학교서문,162000058
청운대삼거리(하늘꿈교회),163000500
서화초등학교(도화e편한세상),163000438
인천교삼거리(인천기계산업단지),163000452
인천의료원,162000107
아시아드경기장(공촌사거리)역,168000320
김포한강신협,232000293
마송,232000408
현대아파트.통진도서관,232000406
오리정,232000400
김포대학입구,232000597
현대아파트,169000082
유성아파트,169000086
강화병원,169000088
신일아파트,232000375
인하대병원,161000119
숭의역(1번출구),163000510
미추홀퍼스트(2단지),163000220
용현3동행정복지센터.보훈병원,163000221
독정이고개,163000234
주안2동치안센터,163000302
기계공고,163000294
용남시장,163000236
독정이고개,163000238
용현3동행정복지센터.보훈병원,163000224
미추홀퍼스트(2단지),163000642
숭의역(2번출구),163000211
인하대병원,161000121
백석마을,232000413
세원에너지충전소(나비공원),166000849
신영자동차,166000561
인향아파트,166000557
청천초등학교후문,166000579
아울렛(CGV부평),166000818
산곡역(6번출구),166000429
산곡동입구(롯데마트),166000856
백운역,166000080
부평사거리,166000887
희망천입구,166000799
동수역,166000108
부일여자중학교,166000123
새마을금고,166000125
인천성모병원후문,166000138
인천성모병원정문,166000844
부평역화성파크드림아파트,166000805
비젼교회,166000171
뉴그린아트빌,166000876
광일아파트,166000874
일신주공,166000866
옐림교회,166000854
풍림아파트104동,166000899
군수사령부입구(장애인복지관),166000825
일신동행정복지센터,166000200
무내미마을,166000106
장수사거리,165000501
구장수파출소,165000375
서창동화원,165000619
태평아파트입구,165000274
