정류소명,정류소아이디,상_하행
독정역(서구동구예비군훈련장),168000378,하행
백석고가(하이마트),168000578,하행
당하탑스빌아파트,168000393,하행
당하동행정복지센터,168001014,하행
완정역,168000673,하행
동아아파트,168000406,하행
완정공단입구,168000409,하행
마전역,168000413,하행
완정초등학교.검단도서관,168000415,하행
검단출장소,168000424,하행
검단농협,168000432,하행
검단동행정복지센터(검단고교),168000441,하행
대주아파트,168000469,하행
마전고등학교,168000752,하행
2차풍림아이원,168000584,하행
마전지구2,168000645,하행
마전지구3,168000646,하행
마전지구버스차고지,168001345,하행
강화터미널,169000096,상행
강화장례식장,169000918,상행
세광아파트,169000049,상행
안양대학교,169000177,상행
양도면사무소(나무),169000912,상행
화도터미널,169000105,상행
마니산입구,169000103,상행
문현,169000164,상행
문산교회앞,169000340,상행
강화마니산,169000002,상행
강화실버케어스앞,169000976,상행
덕포리,169000006,상행
선두1리,169000009,상행
여우고개,169000981,상행
KT온수분국,169000523,상행
건일아파트,169000015,상행
온수시장,169000095,상행
온수리,169000018,상행
전등사동문,169000895,상행
보릿고개,169000880,상행
강화루지.강남상회,169000150,상행
초지대교,169000071,상행
약암호텔,232000167,상행
대명초교,232000451,상행
신김포농협대곶지점,232000645,상행
공구상가.간동입구,232000270,상행
양곡버스정류장,232000326,상행
오라니마을,232000711,상행
한가람마을우미린.호수이편한세상,232000704,상행
호수마을5단지후문,232000823,상행
고창마을.KCC,232000709,상행
청송2.3단지,232000318,상행
청송1단지.중흥S클래스,232000317,상행
운양역,232000727,상행
개화역1번출구.개화검문소,115000073,상행
롯데몰.김포공항,115000617,상행
김포공항국제선,115000562,하행
한국공항공사,115000298,하행
김포공항국내선,115000602,하행
개화역1번출구.개화검문소,115000072,하행
운양역,232000726,하행
청송1단지.중흥S클래스,232000316,하행
청송2.3단지,232000315,하행
청송마을.성우오스타,232000708,하행
호수마을5단지후문,232000074,하행
호수마을이편한세상.한가람우미린,232000705,하행
고다니마을9단지,232000710,하행
양곡사거리.양촌터미널,232000306,하행
돼지슈퍼.간동입구,232000286,하행
신김포농협대곶지점,232000644,하행
약암호텔,232000144,하행
초지대교,169000106,하행
강화루지.강남상회,169000250,하행
보릿고개,169000517,하행
전등사동문,169000521,하행
온수리,169000020,하행
온수시장,169000019,하행
건일아파트,169000094,하행
한전온수출장소,169000012,하행
여우고개,169000980,하행
선두1리,169000099,하행
덕포리,169000100,하행
강화실버케어스앞,169000975,하행
강화마니산,169000001,하행
문산리마을회관,169000101,하행
문산교회앞,169000589,하행
문산교회앞,169000005,하행
마니산입구,169000102,하행
화도터미널,169000104,하행
양도면사무소(쉘터),169000913,하행
안양대학교,169000301,하행
세광2차아파트,169000758,하행
강화장례식장,169000946,하행
강화터미널,169000096,하행
창리,169000053,상행
창리,169000052,상행
경기주유소,169000051,상행
세광2차아파트,169000857,상행
찬우물약수터,169000851,상행
고산촌,169000779,상행
군인아파트,169000047,상행
선원초등학교,169000044,상행
선원면주민센터,169000042,상행
수부촌,169000041,상행
금운교,169000298,상행
백운곡,169000295,상행
성터지,169000039,상행
영은교회,169000139,상행
불은파출소,169000036,상행
두운리,169000034,상행
옥골.옥토끼우주센터,169000033,상행
목비고개,169000272,상행
길직리,169000031,상행
마그네사거리,169000030,상행
마그네다리,169000158,상행
방죽말,169000027,상행
길상면주민센터,169000021,상행
전등사남문,169000893,상행
애전부락,169001076,상행
용화사(길상낚시터),169001080,상행
장흥저수지(성공회.해든뮤지움),169001081,상행
장안말(구초지분교)입구,169001084,상행
산음입구,232000277,상행
인삼농협앞,232000659,상행
송마3리,232000276,상행
송마리입구,232000275,상행
대곶사거리,232000273,상행
종생마을,232000272,상행
율생리입구,232000271,상행
가오대입구,232000661,상행
구래역,232000725,상행
솔터마을입구,232000707,상행
구래리,232000611,상행
해병2사단.향동,232000618,상행
좌동마을,168000452,상행
금곡교차로,168001370,상행
검단오류풍림아이원,168001252,상행
단봉초등학교,168000380,상행
자이금호힐스테이트,168000850,상행
왕길동,168000387,상행
유승아파트,168000397,상행
검단원흥아파트,168000400,상행
대림아파트,168000610,상행
검단사거리역,168000537,상행
